id,x,y
2548,81.42511,-87.35445
16984,119.93846,-37.299404
3908,87.198425,-54.06861
17054,76.89057,-50.703594
9584,-77.35618,-112.8646
17541,-78.2436,-121.04326
7473,-102.427574,-103.246796
10029,-95.07995,-56.358196
3257,-58.105743,53.499817
8304,-21.910006,147.6837
15855,-117.36517,77.39764
5617,-122.53122,76.35445
5519,-60.74393,40.537556
6902,-60.6673,39.7721
13778,-114.82835,23.664114
2822,-122.838486,3.9247992
6790,-131.27261,35.44774
6722,-131.38719,35.0783
8918,-52.996223,51.684357
8426,-58.550167,62.738777
5673,-6.222093,-85.30719
11099,-5.4395223,-85.423874
2110,-83.5291,25.022959
6667,-96.2536,90.41333
5056,109.26279,41.186962
7018,126.63067,45.292957
7474,-116.78544,-142.9747
7648,-109.22666,-144.20972
5680,54.94587,0.0646389
16405,55.229027,0.1426238
4323,180.0238,5.4288588
11426,126.55639,62.26766
209,125.05835,-17.9841
19262,120.93496,-1.5808592
8164,2.3715825,-34.007717
13426,1.8454881,-33.514122
14801,36.28073,148.65
3776,36.336033,149.10088
5390,-64.39126,48.62029
6395,91.526634,21.567078
2871,-67.237785,98.00497
8820,-56.98153,77.279434
1239,83.378,62.88064
12087,114.5942,-61.427563
1740,-1.8882961,-42.181374
18507,-3.4070919,-39.13649
701,-0.05993069,24.37728
13516,80.25054,104.4217
6198,112.345245,-21.375185
4511,112.36625,-22.006018
3215,-32.770336,153.59012
12642,-35.3101,150.50287
6461,-26.440756,23.850544
517,-53.39287,95.97203
2514,-55.011734,-80.010155
17508,-54.465023,-80.26567
8151,-164.7541,-88.41236
19373,-162.20116,-88.2581
17566,-114.90679,-141.0409
19108,126.76863,40.328663
9915,-37.22916,-121.64069
9831,-36.4179,-121.15041
1290,-59.991974,30.40873
9057,-58.45956,71.49374
11341,-90.50733,59.567783
19303,90.78526,22.071596
4694,-43.916023,-84.995094
4685,-44.860718,-81.734406
14821,87.559006,-1.0119414
20470,45.738205,-116.02144
12636,-91.76298,12.126666
8761,-93.92945,12.830073
8743,-55.036743,38.456448
15560,-55.18116,38.299
3786,-12.645857,-176.70027
9318,1.2417958,-170.05077
11415,-167.9634,-53.01807
14650,-169.50478,-61.898987
9109,-51.97928,67.07441
10851,58.616188,-117.042206
4513,-44.941265,45.274704
8857,-70.18441,30.942965
1,54.338463,29.368631
16924,79.461,37.709595
3404,63.704414,59.21141
11129,63.301834,59.488102
18559,29.17886,-52.46527
6347,47.58973,-109.142
7258,34.22613,-109.803696
2914,54.98252,-30.709427
14507,48.57452,-39.513065
6259,113.10512,-61.270466
19040,111.91093,-60.961426
4134,-75.78864,-86.659164
9389,-76.27632,-86.452675
18902,129.33813,93.55611
15960,-63.354126,102.40034
3356,20.70869,-44.616802
4725,-45.04238,-95.59862
5705,77.71298,-47.119953
18965,76.64744,-46.81087
4766,-4.128612,-194.78786
10034,-4.2979884,-189.01132
3303,-82.59759,43.19332
15661,-83.17455,40.327854
3228,-55.452446,-6.137472
16052,-55.584297,-6.0772223
11537,97.59771,-20.76594
4557,65.4223,-25.04384
2497,-50.54709,-88.18795
9993,-49.98952,-86.72891
3851,83.249985,-11.846599
2200,-26.456581,174.64622
1942,-24.813389,174.4184
19556,24.525784,-54.315353
3108,-106.16859,-122.66103
2764,-117.790016,-124.89389
7644,-115.231,-125.82661
8968,-72.30793,-1.1118817
12373,-71.68687,-2.1052842
7843,136.22449,21.612535
19548,135.1283,20.996967
3304,-74.52764,64.175934
8476,-74.97936,64.738464
286,-82.3622,66.46458
5459,-60.981464,51.21919
3976,-24.962524,-184.8574
9571,-23.603083,-185.88478
3549,63.51285,-0.14966811
7908,-145.44556,-67.66255
3741,-124.544685,-8.657141
5006,158.95996,21.767937
17162,159.05446,23.692663
6372,53.520443,-89.59776
12268,53.75093,-90.01925
4230,-178.43488,-57.368492
7465,-174.62831,-56.402565
6188,77.2312,-47.309692
1267,-72.69695,-6.9133735
12515,-70.63513,-7.3125863
3333,-48.194733,57.5776
12414,-48.2825,55.992397
2685,3.471405,11.408405
15623,-91.819626,42.67366
2828,88.86736,0.6653774
7194,55.40188,-88.77019
5106,136.59492,53.164425
5104,136.71088,53.213024
9132,-39.316467,93.87173
12343,-39.951916,94.58952
8445,-110.22919,30.900562
5665,101.53945,74.910515
5607,-57.591705,39.196835
15716,-58.14185,39.027496
5650,70.27581,-62.49567
11470,68.568726,-65.58366
9269,-73.948166,-112.7797
10103,-73.88936,-112.762886
16672,176.4089,1.838468
18848,124.38854,45.27408
11333,65.26749,9.88634
11092,47.105442,-98.82273
3746,80.785736,68.78232
2118,-149.90564,115.03622
5495,-154.72234,113.560486
9448,-95.88555,-64.82525
9340,-118.291794,-30.735943
3561,36.507133,74.14208
9154,-161.42426,52.64048
12848,-162.19647,52.206177
14962,101.25726,121.436646
16929,-40.612095,7.8858275
6841,-40.64119,7.889119
14669,17.633732,-92.27816
1849,-64.691315,38.683186
15680,-65.03283,39.208366
6402,92.065834,42.0005
11114,91.749084,43.05583
5696,104.425415,-72.51209
10823,19.337502,-76.639046
13143,-89.90021,10.193598
8990,-129.70029,30.199461
8294,-129.7439,30.469988
8237,-90.058815,46.025238
9177,-89.51208,45.47034
11347,84.04289,-85.856384
10141,-119.52191,-124.11992
14309,98.82402,126.94923
12322,-69.76325,59.460598
10576,29.843466,-52.61617
14884,31.739935,-30.836384
8342,-139.48433,120.633224
12821,-144.50723,106.01705
15604,-147.11705,3.8965888
8212,-146.52869,3.3993447
19198,56.356567,31.530407
3967,0.06357669,-29.485613
10784,12.354366,0.8729283
10038,-23.522537,-184.47298
16683,70.89244,92.2487
11172,-157.96465,-85.38439
14249,-157.98203,-86.64879
9121,-158.59721,33.409687
15755,-159.42242,34.605587
816,111.91013,-141.58122
10520,111.129265,-141.4076
5573,-134.64389,120.70935
174,-59.563854,-42.36846
4058,-79.82759,-124.111115
12491,-159.43279,-6.525982
20511,-160.18079,-6.244251
6594,126.84251,73.15604
4188,179.1057,3.081386
15155,37.434372,29.64954
14496,139.19118,61.303955
8650,-62.807674,74.063934
8298,-62.645992,73.98564
3302,-56.822968,-2.57219
13182,-58.880104,-3.7203317
6079,1.9751682,2.5182586
14467,175.76277,0.533523
3810,-160.68028,-87.17913
1836,-88.20566,42.07885
8235,-91.14119,41.267384
6440,106.70491,121.681206
703,-90.31217,-113.57435
4611,-80.68844,-120.170555
16411,127.66027,-16.179289
19358,38.548077,-127.211136
5556,-93.729706,81.20674
9699,1.1978501,-174.59027
9658,-90.16754,-68.282005
4759,-89.56001,-67.94923
20029,158.07648,54.733738
715,43.56664,-0.73779535
6939,41.47012,7.742386
11305,85.97329,-93.63703
6380,32.008743,41.861675
10424,67.32584,-93.24993
16475,113.37299,-62.655754
5674,51.75122,68.83228
11091,52.02828,68.98724
786,-118.21489,64.111465
8803,-86.3524,42.070866
1785,148.66663,-70.20193
15050,150.95062,-70.40647
2647,-62.280083,89.85173
7607,-97.55445,-106.49682
7260,102.84194,41.724243
15300,103.75055,42.121323
9902,-45.5004,-122.721596
568,36.746418,195.81091
7462,95.09318,86.439285
21535,69.875694,105.87423
1273,-46.57065,87.22458
13259,-48.49237,85.42946
3628,149.49893,-70.21314
7233,8.332363,-31.246088
10310,8.469315,-30.961596
5394,-58.699394,-10.410287
5481,-59.566837,-10.2980585
6716,-46.457436,28.323523
14951,37.3734,-112.28571
12301,-131.71202,32.130337
8536,-132.11115,32.1936
18995,-19.663082,-66.707726
10578,146.29308,-42.425495
10755,145.62347,-41.947624
9365,-48.37187,-86.132774
101,61.451458,-40.620705
14077,60.776108,-41.299816
1842,44.04534,157.57518
11423,81.06293,-14.415477
5653,81.41537,-14.263944
16130,-65.34398,-40.170673
5611,-59.44991,30.972692
6993,42.93191,-11.63295
11622,40.96685,-12.163328
11474,88.021255,-93.61484
14379,17.964628,29.750465
10013,54.29772,-22.538458
16482,116.256874,50.659096
5669,-45.685936,39.681313
4540,78.71659,14.199753
10596,79.26032,12.710757
226,81.23877,-7.974413
4555,81.17934,-7.970162
9497,-89.15725,-65.84474
17636,-89.293236,-66.373505
8188,-3.7046115,-44.23543
290,54.686428,-27.541855
6517,-19.482155,12.726419
14643,-20.424437,12.462993
3259,-26.848692,153.8733
13223,-28.432478,152.64705
724,46.613453,180.40987
3538,42.63208,177.49144
6893,16.206873,73.30231
15493,16.247858,73.30156
3313,-62.074997,-7.1105003
4550,104.22407,44.63298
14703,103.20896,45.096336
5597,-42.1612,53.123085
5574,-98.06976,82.1075
9644,-0.70821804,-172.68982
10661,96.347,119.01258
