1,Schlegel,0
2,Albert Hager,0
3,Böger,0
4,Meier,0
5,Meinhold,0
6,Herold,0
7,Rettig,0
8,Meyer,1
9,Schneider,0
10,Köchel,0
11,Wolf,0
12,Ernst,0
13,Trampler,0
14,Vetter,2
15,Pfeil,2
16,Pröse,0
17,Holzmüller,0
18,Eisenreich,0
19,Pröhl,1
20,Reinh. Zimmermann,0
21,Schaller,0
22,Stolze,1
23,Schnabel,2
24,Schmidt,0
25,Fritzsche,0
26,Röhling,0
27,Rudolf,0
28,Hofmann,1
29,Kießling,0
30,Räubert,0
31,Haas,0
32,Bernhardt,0
33,Rausch,0
34,Bernh. Schubert,1
35,Flach,0
36,Groß,0
37,Kneisel,0
38,Seifert,0
39,Thrum,0
40,Hergert,0
41,Lasch,3
42,O. Müller,0
43,R. Müller,0
44,Pröse,0
45,Rich. Zimmermann,0
46,R. Schubert,2
47,Wilhelm,0
48,Neidhardt,1
49,Fährmann,1
50,Pippig,0
51,Golla,0
52,Ebersbach,0
53,Albin Hager,0
