name,rata,kl
RJ,5,0.04424071080331057
RJ,10,0.043307555298139025
RJ,15,0.04111778313706026
RJ,20,0.0391517833276178
RJ,25,0.03694191294379428
RJ,30,0.034369086179706715
RJ,35,0.0309570890050982
RJ,40,0.06334142752272925
BFS,5,0.03664147436311291
BFS,10,0.03048424931736343
BFS,15,0.024923701858607723
BFS,20,0.02503971569105139
BFS,25,0.02587312800404932
BFS,30,0.018538394673781336
BFS,35,0.017742133231486018
BFS,40,0.01676960995500886
DFS,5,0.026871854466640123
DFS,10,0.02274594365377975
DFS,15,0.01745626065223293
DFS,20,0.014077878864084785
DFS,25,0.011747362060978622
DFS,30,0.008274037355224162
DFS,35,0.007365652605327254
DFS,40,0.00530727865490237
RN,5,0.04601774527679317
RN,10,0.04379154983075243
RN,15,0.044120834164781096
RN,20,0.048299433999576785
RN,25,0.0396414516010735
RN,30,0.033634085332424124
RN,35,0.03192829505382211
RN,40,0.04486670028676895
RE,5,0.04486670028676895
RE,10,0.04486670028676895
RE,15,0.04486670028676895
RE,20,0.04486670028676895
RE,25,0.04486670028676895
RE,30,0.04486670028676895
RE,35,0.04486670028676895
RE,40,0.04486670028676895
RW,5,0.035348080264153856
RW,10,0.03649975511591405
RW,15,0.03471340078621471
RW,20,0.03157474780839974
RW,25,0.02981890184655819
RW,30,0.02846448139622907
RW,35,0.02664799084242754
RW,40,0.026135589616943046
ISRW,5,0.03803837395319304
ISRW,10,0.03315893462942779
ISRW,15,0.0351321987940653
ISRW,20,0.031246982087816753
ISRW,25,0.030383099867091312
ISRW,30,0.030116913012580793
ISRW,35,0.028407177462802594
ISRW,40,0.0253837644646372
TIES,5,0.04056877242453903
TIES,10,0.04094149901090405
TIES,15,0.03605666828661582
TIES,20,0.03565167473419079
TIES,25,0.03410379901571266
TIES,30,0.03332867653928871
TIES,35,0.03162372114114037
TIES,40,0.046660693250436716
